,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Race/Ethnicity,,,,,,,,,,Income (Optional),,,,,,,,,,Education (Optional),,,,,,,,,,Employment (Optional),,,,,,,,Occupation (Optional),,,,,,,,,,,,,,,Marital Status (Optional),,,,,,,
Country,State/Prov,Total,% of Total,Males,% Male,Females,% Female,Non- Binary,% Non- Binary,Prefer Not To Say,% PNTS,Youth Age Unknown,Under 12,12-13,14-15,16-17,18-19,% Under 20,20-22,23-24,% 20-24,25-27,28-29,% 25-29,30-32,33-35,% 30-35,36-39,40-49,50-59,60-69,70-89,% 36-89,Adult Age Unknown,Lifetime,Adult,College,Youth,Coach & Player,Coach,Coach & Affiliate,Affiliate Player,Affiliate Youth,Recreational Event,Youth-Serving Organization,Friends & Family,American Indian/Alaska Native/Aleutian,Asian,Black/African American,Hawaiian Native/Other Pacific Islander,Hispanic/Latinx,Multiracial,Other Ethnic or Racial Identity,Prefer Not to Answer,White,[BLANK],"Over $200,000","$100,000-$149,000","$15,000-$24,999","$150,000-$199,000","$25,000-$49,999","$50,000-$74,999","$75,000-$99,000","Under $15,000",Prefer not to answer,[BLANK],Current Graduate Student,Current High School Student,Current Undergraduate Student,Did not graduate high school,Graduated College,High School Graduate,Post Graduate Degree,Prefer not to answer,Some College,[BLANK],Employed full-time,Employed part-time,Full-time homemaker,Full-time student,Prefer not to answer,Retired,Unemployed/looking for work,[BLANK],Administrative,Consultant,Education,Entrepreneur,Executive,Government/Military,Homemaker,Manager,Manufacturing,Non-Profit,Professional/Technical,Service,Student,Unemployed,[BLANK],Divorced,Living with a partner/significant other,Married,Prefer not to answer,Separated,Single,Widowed,[BLANK]
US,OH,2422,3.93%,1641,67.75%,772,31.87%,6,0.25%,3,0.12%,0,3,16,121,393,508,42.98%,592,184,32.04%,191,85,11.40%,105,72,7.31%,43,53,50,2,0,6.11%,4,22,401,792,796,47,20,0,264,6,72,0,2,7,120,27,8,45,38,26,132,1688,331,16,34,29,12,88,89,63,499,381,1211,48,353,573,29,218,17,100,36,50,998,320,220,2,580,117,1,73,1109,13,22,50,8,7,22,5,24,19,12,147,76,784,57,1176,5,38,157,115,1,988,2,1116
US,TX,2126,3.45%,1550,72.91%,573,26.95%,1,0.05%,2,0.09%,0,15,20,63,119,332,25.82%,647,228,41.16%,229,124,16.60%,108,77,8.70%,59,60,36,5,0,7.53%,4,15,784,888,316,32,14,0,10,5,59,0,3,9,212,65,5,240,44,32,131,1292,96,18,42,49,15,80,111,75,521,354,861,46,197,679,3,308,22,122,27,52,670,422,245,1,524,85,2,82,765,18,33,76,22,5,19,2,34,11,20,201,85,720,62,818,9,44,176,79,0,1048,3,767
US,GA,2101,3.41%,1392,66.25%,702,33.41%,5,0.24%,2,0.10%,15,77,245,210,325,344,57.88%,376,135,24.32%,130,57,8.90%,57,37,4.47%,22,26,40,3,0,4.33%,2,9,321,541,575,49,31,0,20,518,25,1,11,4,152,114,3,67,61,32,105,1127,436,22,36,20,10,60,79,36,368,328,1142,28,347,408,8,163,18,106,39,30,954,280,166,2,454,105,1,45,1048,11,26,56,18,8,14,2,36,8,8,101,61,604,58,1090,4,36,141,68,0,785,2,1065
US,VA,2062,3.34%,1318,63.92%,733,35.55%,7,0.34%,4,0.19%,8,76,75,81,162,306,34.34%,579,174,36.52%,187,102,14.02%,101,54,7.52%,41,59,36,4,0,6.79%,17,15,436,741,331,34,12,0,88,124,270,0,11,4,150,48,4,41,64,37,101,1235,378,21,32,24,13,70,79,50,400,309,1064,43,162,584,8,189,9,98,36,43,890,296,118,1,509,90,0,65,983,18,26,45,7,6,31,3,25,11,16,102,43,648,47,1034,5,32,121,68,0,840,1,995
US,WI,1842,2.99%,1218,66.12%,615,33.39%,5,0.27%,4,0.22%,0,29,51,130,214,295,39.03%,431,137,30.84%,160,108,14.55%,111,68,9.72%,50,36,17,3,0,5.75%,2,8,492,559,522,40,17,0,98,100,2,0,4,9,106,20,1,35,45,22,104,1484,16,10,38,39,10,102,116,63,481,302,681,38,320,447,31,273,20,105,48,47,513,382,244,2,454,113,1,55,591,15,18,72,9,8,14,3,28,17,17,190,77,663,48,663,7,60,158,83,1,910,2,621
US,WA,1710,2.77%,910,53.22%,791,46.26%,6,0.35%,3,0.18%,0,0,5,61,148,268,28.19%,402,131,31.17%,143,106,14.56%,119,81,11.70%,77,93,57,7,1,13.74%,11,35,691,554,228,39,19,0,13,1,126,1,3,7,232,30,5,37,71,33,113,972,210,21,61,39,16,69,97,54,302,217,834,38,92,421,11,253,15,142,38,31,669,361,124,3,331,70,7,57,757,12,26,70,9,7,15,4,27,5,34,177,41,440,35,808,11,57,153,65,0,632,2,790
US,ME,1464,2.37%,1029,70.29%,430,29.37%,2,0.14%,3,0.20%,1,52,81,155,259,239,53.76%,186,95,19.19%,85,56,9.63%,53,42,6.49%,37,46,19,4,0,7.24%,54,13,119,194,500,26,16,1,318,214,62,0,1,4,42,4,1,13,34,7,126,947,286,15,23,14,11,40,35,13,239,236,838,13,260,173,30,109,5,50,77,15,732,147,89,0,304,92,5,24,803,1,14,46,16,8,2,2,11,4,13,56,29,392,39,831,8,23,86,100,0,428,0,819
US,UT,1430,2.32%,1053,73.64%,375,26.22%,2,0.14%,0,0.00%,4,36,158,294,335,227,73.71%,98,52,10.49%,68,25,6.50%,30,21,3.57%,15,38,22,3,0,5.45%,4,4,121,149,860,37,35,2,63,156,1,0,2,8,35,4,5,23,18,11,92,1100,134,11,38,25,17,38,49,40,305,230,677,14,374,110,26,95,14,71,95,44,587,183,146,14,313,105,1,35,633,10,9,43,16,6,13,13,14,9,5,78,36,455,45,678,6,20,165,82,0,527,0,630
US,MO,1399,2.27%,994,71.05%,402,28.73%,0,0.00%,3,0.21%,0,1,3,51,191,270,36.88%,252,128,27.16%,137,76,15.23%,86,79,11.79%,48,41,24,8,0,8.65%,4,7,233,321,440,22,7,1,351,12,4,0,1,5,78,15,2,26,32,12,83,896,250,8,18,10,5,47,58,24,281,202,746,28,264,270,10,105,7,69,21,19,606,189,117,1,320,61,1,35,675,6,10,36,12,6,11,2,9,7,8,90,28,430,29,715,5,20,87,53,0,545,1,688
US,CT,1369,2.22%,1053,76.92%,314,22.94%,1,0.07%,1,0.07%,0,0,1,46,172,267,35.50%,320,113,31.63%,112,73,13.51%,71,49,8.77%,41,61,29,10,0,10.30%,4,15,244,427,171,12,13,2,280,140,65,0,0,1,107,24,1,47,27,18,93,867,184,13,23,11,11,41,57,30,292,241,650,28,205,333,10,130,9,77,25,19,533,190,114,2,341,79,4,38,601,13,17,53,5,6,6,1,12,6,10,81,25,448,39,647,5,21,80,69,1,571,0,622
