,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Race/Ethnicity,,,,,,,,,,Income (Optional),,,,,,,,,,Education (Optional),,,,,,,,,,Employment (Optional),,,,,,,,Occupation (Optional),,,,,,,,,,,,,,,Marital Status (Optional),,,,,,,
Country,State/Prov,Total,% of Total,Males,% Male,Females,% Female,Non- Binary,% Non- Binary,Prefer Not To Say,% PNTS,Youth Age Unknown,Under 12,12-13,14-15,16-17,18-19,% Under 20,20-22,23-24,% 20-24,25-27,28-29,% 25-29,30-32,33-35,% 30-35,36-39,40-49,50-59,60-69,70-89,% 36-89,Adult Age Unknown,Lifetime,Adult,College,Youth,Coach & Player,Coach,Coach & Affiliate,Affiliate Player,Affiliate Youth,Recreational Event,Youth-Serving Organization,Friends & Family,American Indian/Alaska Native/Aleutian,Asian,Black/African American,Hawaiian Native/Other Pacific Islander,Hispanic/Latinx,Multiracial,Other Ethnic or Racial Identity,Prefer Not to Answer,White,[BLANK],"Over $200,000","$100,000-$149,000","$15,000-$24,999","$150,000-$199,000","$25,000-$49,999","$50,000-$74,999","$75,000-$99,000","Under $15,000",Prefer not to answer,[BLANK],Current Graduate Student,Current High School Student,Current Undergraduate Student,Did not graduate high school,Graduated College,High School Graduate,Post Graduate Degree,Prefer not to answer,Some College,[BLANK],Employed full-time,Employed part-time,Full-time homemaker,Full-time student,Prefer not to answer,Retired,Unemployed/looking for work,[BLANK],Administrative,Consultant,Education,Entrepreneur,Executive,Government/Military,Homemaker,Manager,Manufacturing,Non-Profit,Professional/Technical,Service,Student,Unemployed,[BLANK],Divorced,Living with a partner/significant other,Married,Prefer not to answer,Separated,Single,Widowed,[BLANK]
US,LA,242,0.39%,163,67.36%,79,32.64%,0,0.00%,0,0.00%,0,0,0,4,13,49,27.27%,80,24,42.98%,36,9,18.60%,7,6,5.37%,3,6,4,1,0,5.79%,0,1,62,106,22,3,1,0,3,0,43,0,1,0,15,5,0,8,5,2,11,191,5,2,2,3,0,13,10,5,57,39,111,3,19,90,1,33,6,8,3,5,74,40,26,0,61,12,1,6,96,2,1,6,2,1,4,0,4,3,1,13,17,81,4,103,1,4,12,12,0,112,0,101
US,AR,240,0.39%,179,74.58%,59,24.58%,1,0.42%,1,0.42%,0,0,0,5,7,31,17.92%,99,24,51.25%,16,12,11.67%,11,12,9.58%,9,6,6,2,0,9.58%,0,4,82,132,21,1,0,0,0,0,0,0,0,3,10,3,0,7,4,3,12,195,3,1,1,12,2,20,13,6,73,34,78,7,13,99,0,33,4,13,2,7,62,50,37,1,61,13,0,5,73,2,1,8,7,1,1,1,7,3,5,19,14,83,7,81,2,6,27,10,0,123,0,72
Canada,QC,218,0.35%,118,54.13%,100,45.87%,0,0.00%,0,0.00%,0,0,0,0,2,25,12.39%,33,31,29.36%,33,18,23.39%,30,19,22.48%,19,6,2,0,0,12.39%,0,0,210,3,3,0,1,0,0,1,0,0,0,0,13,0,0,1,4,3,27,167,3,1,7,11,0,13,20,7,54,29,76,14,7,14,0,31,13,32,16,21,70,58,24,0,46,12,0,5,73,7,4,18,2,0,0,0,4,1,0,36,7,57,7,75,0,36,5,12,1,86,0,78
US,OK,204,0.33%,131,64.22%,72,35.29%,1,0.49%,0,0.00%,0,0,0,0,0,23,11.27%,68,29,47.55%,24,17,20.10%,9,19,13.73%,11,2,1,0,0,6.86%,1,1,81,111,1,3,0,0,0,0,7,0,0,5,8,2,0,11,6,3,11,153,5,3,8,10,4,14,9,7,61,27,61,17,0,80,0,29,1,14,3,15,45,51,22,1,61,8,1,5,55,3,2,11,3,2,3,0,1,4,3,20,8,79,2,63,2,8,28,4,0,106,1,55
US,AK,196,0.32%,137,69.90%,59,30.10%,0,0.00%,0,0.00%,0,28,13,0,2,7,25.51%,14,11,12.76%,17,20,18.88%,31,18,25.00%,10,24,1,0,0,17.86%,0,1,37,6,1,0,1,0,0,0,149,0,1,2,4,0,0,0,2,1,3,41,143,1,2,3,1,1,2,4,11,5,166,2,0,14,0,8,0,7,1,3,161,16,8,0,7,0,0,3,162,1,1,3,1,0,4,0,1,0,0,7,1,14,0,163,0,0,10,0,0,22,0,164
US,KS,192,0.31%,119,61.98%,72,37.50%,0,0.00%,1,0.52%,0,0,0,3,5,10,9.38%,81,20,52.60%,30,18,25.00%,12,6,9.38%,3,3,1,0,0,3.65%,0,2,81,93,8,3,2,0,1,0,0,0,2,3,12,2,0,2,3,2,13,154,1,0,2,11,0,16,12,3,72,30,46,9,4,79,0,35,6,13,3,10,33,51,31,1,51,9,0,9,40,1,1,11,1,1,1,2,5,2,3,21,15,74,4,50,0,2,21,5,1,122,0,41
US,NM,181,0.29%,130,71.82%,51,28.18%,0,0.00%,0,0.00%,0,0,0,0,2,15,9.39%,31,23,29.83%,26,15,22.65%,24,15,21.55%,9,10,9,2,0,16.57%,0,3,22,42,0,0,0,0,1,0,112,0,1,1,6,2,0,15,3,1,7,67,79,0,0,3,2,6,6,3,27,18,116,8,0,34,0,10,0,15,2,4,108,26,17,0,18,8,0,1,111,0,2,6,2,0,2,0,2,0,1,16,3,30,2,115,1,5,9,4,0,51,0,111
US,MS,167,0.27%,113,67.66%,52,31.14%,1,0.60%,1,0.60%,1,26,6,1,1,18,31.74%,47,27,44.31%,23,5,16.77%,5,4,5.39%,0,3,0,0,0,1.80%,0,0,52,71,1,1,0,0,0,8,34,0,0,0,10,2,0,1,0,0,3,116,35,1,1,4,1,10,2,5,49,19,75,9,3,58,0,17,5,3,1,10,61,23,21,1,37,9,0,5,71,2,0,4,1,0,4,0,0,1,1,10,5,55,8,76,1,1,6,3,0,83,0,73
US,NE,129,0.21%,90,69.77%,39,30.23%,0,0.00%,0,0.00%,0,0,0,0,0,10,7.75%,38,28,51.16%,24,11,27.13%,10,3,10.08%,3,1,1,0,0,3.88%,0,0,53,73,0,2,0,0,1,0,0,0,0,0,6,1,0,1,2,0,5,113,1,0,1,7,0,13,8,5,38,15,42,8,0,50,0,28,4,4,0,2,33,38,14,1,31,4,0,3,38,4,0,8,0,0,1,0,1,1,1,15,5,49,2,42,0,2,11,1,0,78,0,37
US,DE,111,0.18%,75,67.57%,36,32.43%,0,0.00%,0,0.00%,0,0,0,0,0,15,13.51%,62,15,69.37%,3,3,5.41%,2,5,6.31%,3,3,0,0,0,5.41%,0,1,22,88,0,0,0,0,0,0,0,0,0,0,9,2,0,3,2,1,3,88,3,0,1,0,1,2,3,2,31,22,49,1,1,55,0,3,1,5,0,5,40,9,16,0,33,3,0,5,45,1,0,2,0,0,1,0,0,0,1,7,1,49,2,47,0,2,3,4,0,54,0,48
Canada,MB,85,0.14%,47,55.29%,38,44.71%,0,0.00%,0,0.00%,0,0,0,0,0,14,16.47%,21,16,43.53%,14,4,21.18%,10,2,14.12%,0,3,1,0,0,4.71%,0,0,81,1,2,0,1,0,0,0,0,0,0,0,11,0,0,0,4,4,7,58,1,0,0,7,1,9,3,0,22,10,33,5,1,23,0,9,7,5,3,4,28,17,22,0,11,4,0,1,30,2,1,1,1,0,0,2,5,0,1,7,6,24,1,34,0,9,3,4,0,37,0,32
US,NV,79,0.13%,51,64.56%,28,35.44%,0,0.00%,0,0.00%,0,0,0,0,0,8,10.13%,25,7,40.51%,12,10,27.85%,9,3,15.19%,2,3,0,0,0,6.33%,0,0,44,35,0,0,0,0,0,0,0,0,0,0,11,0,0,3,2,1,7,54,1,0,1,7,1,6,7,2,21,11,23,8,0,30,0,17,0,6,2,1,15,19,11,0,22,6,0,3,18,0,1,2,2,1,5,0,0,0,0,10,5,29,3,21,0,3,6,1,0,53,0,16
Canada,NS,72,0.12%,47,65.28%,25,34.72%,0,0.00%,0,0.00%,0,0,0,0,0,4,5.56%,9,5,19.44%,20,12,44.44%,13,4,23.61%,1,4,0,0,0,6.94%,0,0,70,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,6,63,0,0,2,6,0,8,16,2,10,7,21,5,1,8,0,25,0,13,3,0,17,30,9,0,8,5,0,0,20,0,3,2,0,0,3,0,2,0,4,17,4,12,0,25,0,14,2,3,0,33,0,20
US,WV,39,0.06%,23,58.97%,15,38.46%,1,2.56%,0,0.00%,0,0,0,1,0,8,23.08%,19,7,66.67%,1,1,5.13%,1,0,2.56%,0,1,0,0,0,2.56%,0,0,2,34,1,1,0,0,0,0,0,0,1,0,2,1,0,1,0,1,2,32,0,0,0,0,0,2,2,0,7,13,15,2,1,21,0,1,0,2,1,2,9,3,2,0,16,4,0,3,11,0,0,0,0,0,1,0,0,0,0,2,1,21,2,12,1,0,1,4,0,22,0,11
Canada,NL,32,0.05%,13,40.63%,19,59.38%,0,0.00%,0,0.00%,0,0,0,0,0,0,0.00%,2,5,21.88%,2,3,15.63%,9,4,40.63%,6,1,0,0,0,21.88%,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,26,1,0,2,1,0,3,5,3,2,4,12,2,0,3,0,10,0,5,1,1,10,16,1,0,1,1,0,2,11,0,1,2,2,0,3,0,1,0,0,7,1,1,1,13,0,2,5,2,0,12,0,11
Canada,SK,30,0.05%,11,N/A,19,N/A,0,0.00%,0,0.00%,0,0,0,0,0,2,6.67%,2,4,20.00%,10,6,53.33%,3,2,16.67%,0,1,0,0,0,3.33%,0,0,30,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,1,2,20,0,0,0,1,0,5,5,0,4,1,14,0,0,4,0,8,1,2,1,1,13,10,3,0,2,0,0,1,14,0,2,3,0,0,0,0,1,0,1,4,0,4,1,14,0,6,1,0,0,11,0,12
Canada,AB,27,0.04%,6,22.22%,21,77.78%,0,0.00%,0,0.00%,0,0,0,0,0,0,0.00%,5,0,18.52%,0,1,3.70%,2,4,22.22%,7,7,0,0,0,51.85%,1,1,21,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,17,1,1,3,0,0,0,2,1,3,4,13,0,0,4,0,1,0,11,0,0,11,11,1,0,3,1,0,0,11,0,1,2,0,0,4,0,2,0,0,3,0,3,0,12,0,1,9,1,0,5,0,11
Other,Int'l,25,0.04%,16,64.00%,9,36.00%,0,0.00%,0,0.00%,0,0,0,0,0,2,8.00%,3,2,20.00%,3,1,16.00%,2,3,20.00%,3,2,3,0,0,32.00%,1,4,16,5,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,1,10,5,1,1,1,0,0,2,0,5,4,11,1,0,4,0,5,0,4,0,1,10,7,1,0,4,1,0,1,11,1,0,1,1,1,0,0,1,0,0,4,0,5,0,11,0,1,4,0,0,10,0,10
US,ND,17,0.03%,15,88.24%,2,11.76%,0,0.00%,0,0.00%,0,0,0,0,0,3,17.65%,6,3,52.94%,2,2,23.53%,1,0,5.88%,0,0,0,0,0,0.00%,0,0,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,1,0,1,2,1,5,0,7,1,0,7,0,3,0,0,0,2,4,4,4,0,3,0,0,0,6,1,1,1,0,0,0,0,0,1,0,1,0,4,0,8,0,1,2,0,0,8,0,6
US,HI,10,0.02%,6,60.00%,4,40.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0.00%,2,0,20.00%,1,0,10.00%,0,1,10.00%,1,4,0,1,0,60.00%,0,4,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,2,0,0,0,1,1,0,1,1,0,6,1,0,1,0,2,0,1,0,1,4,3,1,0,2,0,0,0,4,0,1,0,0,0,1,0,0,0,0,1,1,2,0,4,1,0,2,0,0,3,0,4
US,SD,9,0.01%,7,77.78%,2,22.22%,0,0.00%,0,0.00%,0,0,0,0,0,0,0.00%,4,0,44.44%,2,0,22.22%,1,2,33.33%,0,0,0,0,0,0.00%,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,1,2,0,2,0,0,0,1,3,0,0,2,0,3,0,0,0,1,3,5,0,0,0,1,0,0,3,0,0,1,1,0,0,0,1,0,0,0,1,1,0,4,0,0,3,0,0,3,0,3
Canada,NB,9,0.01%,8,88.89%,1,11.11%,0,0.00%,0,0.00%,0,0,0,0,0,1,11.11%,0,0,0.00%,2,0,22.22%,1,0,11.11%,0,3,2,0,0,55.56%,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,1,1,1,2,3,0,0,1,0,2,0,3,0,0,3,5,0,0,1,0,0,0,3,0,1,1,0,0,1,0,0,0,0,1,1,1,0,3,0,2,2,0,0,2,0,3
US,WY,7,0.01%,3,42.86%,4,57.14%,0,0.00%,0,0.00%,0,0,0,0,0,0,0.00%,1,1,28.57%,0,2,28.57%,1,0,14.29%,1,1,0,0,0,28.57%,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,0,1,2,0,0,1,2,1,0,2,0,0,1,2,0,0,1,2,1,0,3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,0,1,0,1,3,0,0,1,0,2
Canada,YT,1,0.00%,0,N/A,1,N/A,0,0.00%,0,0.00%,0,0,0,0,0,0,0.00%,1,0,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
